,timestep,Clipper-Europa distance,velocity,acceleration
0,781804545.4607,678274823,30.178674602388625,3.544443859955638e-05
1,781804557.4607,678274443,30.178800481071672,3.544570477742864e-05
2,781804569.4607,678274064,30.178926095674587,3.544699011353055e-05
3,781804581.4607,678273684,30.179051446201314,3.544829460577813e-05
4,781804593.4607,678273305,30.179176532655816,3.5449618252056645e-05
5,781804605.4607,678272926,30.179301355042043,3.545096105022058e-05
6,781804617.4607,678272546,30.17942591336395,3.545232299809375e-05
7,781804629.4607,678272167,30.179550207625496,3.545370409346925e-05
8,781804641.4607,678271788,30.179674237830664,3.5455104334109506e-05
9,781804653.4607,678271409,30.179798003983393,3.545652371774628e-05
10,781804665.4607,678271030,30.17992150608767,3.545796224208069e-05
11,781804677.4607,678270651,30.180044743906166,3.5459287520209613e-05
12,781804689.4607,678270273,30.180167717201524,3.5460631934086916e-05
13,781804701.4607,678269894,30.180290425977656,3.5461995481536204e-05
14,781804713.4607,678269515,30.180412870238488,3.546337816035044e-05
15,782323113.4607,665248482,36.118192305189474,6.006895506485821e-06
16,782841513.4607,651648544,36.140740951034644,-6.030377444000092e-06
17,783359913.4607,638319171,36.046613225425446,-5.9868830185940134e-06
18,783878313.4607,628022723,35.83425227839736,-5.885784213707179e-06
19,784396713.4607,618534140,35.511939159448985,-5.734126144401577e-06
20,784915113.4607,609049957,35.09232051018736,-5.541327922939146e-06
21,785433513.4607,602628581,34.590631686325985,-5.317923999991141e-06
22,785951913.4607,598003069,34.023099597413406,-5.074413260249848e-06
23,786470313.4607,593054518,33.405640888035855,-4.82032288981395e-06
24,786988713.4607,590470637,32.75293042642058,-4.563646559556732e-06
25,787507113.4607,590286380,32.07784788942539,-4.310639804034653e-06
26,788025513.4607,589577829,31.39123938650067,-4.065909234276364e-06
27,788543913.4607,590098970,30.70193821635384,-3.832423489898113e-06
28,789062313.4607,593241603,30.016887674143117,-3.612158194717256e-06
29,789580713.4607,595952296,29.341396051410456,-3.406002222356732e-06
30,790099113.4607,598703383,28.67938810792967,-3.2141949274166792e-06
31,790617513.4607,603940667,28.033658635574806,-3.03649745029246e-06
32,791135913.4607,609141938,27.40609540144114,-2.8724410451123254e-06
33,791654313.4607,613425938,26.79533430293487,-2.720694237580461e-06
34,792172713.4607,619730020,26.207073289580393,-2.5816357348353915e-06
35,792691113.4607,626582100,25.639086737555928,-2.4532875680617344e-06
36,793209513.4607,631941831,25.091341618262593,-2.3348936537433104e-06
37,793727913.4607,638592800,24.56020465889183,-2.2157744085689634e-06
38,794246313.4607,646112559,22.53879527679808,-2.2606884018210087e-06
39,794764713.4607,651534807,22.032499852821083,-2.0403124935874234e-06
40,795283113.4607,657377565,21.54979831568225,-1.956029236680722e-06
41,795801513.4607,664849205,21.087379836817952,-1.8810021434973084e-06
